ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС;
1.2.4.1.7.3;DRF000000000421686;Дрофа;9;УМК Пурышевой. Физика (7-9);Пурышева Н. С., Важеевская Н. Е., Чаругин В. М.;Физика. 9 класс;75;0,18;Физика. 9 класс (Лицензия 1 год)
1.2.4.2.2.1;DRF000000000421550;Дрофа;5;УМК Пасечника. Биология (5-9);Пасечник В. В.;Биология. Бактерии, грибы, растения. 5 класс;75;0,18;Биология. Бактерии, грибы, растения. 5 класс (Лицензия 1 год)
1.2.4.2.2.2;DRF000000000421551;Дрофа;6;УМК Пасечника. Биология (5-9);Пасечник В. В.;Биология. Многообразие покрытосеменных растений. 6 класс;75;0,18;Биология. Многообразие покрытосеменных растений. 6 класс (Лицензия 1 год)
1.2.4.2.2.3;DRF000000000421552;Дрофа;7;УМК Пасечника. Биология (5-9);Латюшин В. В., Шапкин В. А.;Биология. Животные. 7 класс;75;0,18;Биология. Животные. 7 класс (Лицензия 1 год)
1.2.4.2.2.4;DRF000000000421553;Дрофа;8;УМК Пасечника. Биология (5-9);Колесов Д. В., Маш Р. Д., Беляев И. Н.;Биология. Человек. 8 класс;75;0,18;Биология. Человек. 8 класс (Лицензия 1 год)
1.2.4.2.2.5;DRF000000000421554;Дрофа;9;УМК Пасечника. Биология (5-9);Пасечник В. В., Каменский А. А., Криксунов Е. А., Швецов Г. Г.;Биология. Введение в общую биологию. 9 класс;75;0,18;Биология. Введение в общую биологию. 9 класс (Лицензия 1 год)
1.2.4.2.5.1;DRF000000000421545;Дрофа;5;УМК Сонина. Биология (лин., синяя) (5-9);Плешаков А. А., Сонин Н. И.;Биология. Введение в биологию. 5 класс;75;0,18;Биология. Введение в биологию. 5 класс (Лицензия 1 год)
1.2.4.2.5.2;DRF000000000421546;Дрофа;6;УМК Сонина. Биология (лин., синяя) (5-9);Сонин Н. И., Сонина В. И.;Биология. Живой организм. 6 класс;75;0,18;Биология. Живой организм. 6 класс (Лицензия 1 год)
1.2.4.2.5.3;DRF000000000421547;Дрофа;7;УМК Сонина. Биология (лин., синяя) (5-9);Сонин Н. И., Захаров В. Б.;Биология. Многообразие живых организмов. Бактерии, грибы. 7 класс;75;0,18;Биология. Многообразие живых организмов. Бактерии, грибы. 7 класс (Лицензия 1 год)
1.2.4.2.5.4;DRF000000000421548;Дрофа;8;УМК Сонина. Биология (лин., синяя) (5-9);Сонин Н. И., Захаров В. Б.;Биология. Многообразие живых организмов. Животные. 8 класс;75;0,18;Биология. Многообразие живых организмов. Животные. 8 класс (Лицензия 1 год)
