ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС
1.2.3.2.7.3;VEN000000000428775;Вентана-Граф;9;УМК Мерзляка. Алгебра (7-9) (Б);Мерзляк А. Г., Полонский В. Б., Якир М. С.;Алгебра. 9 класс;75,00;0,18
1.2.3.2.8.1;VEN000000000428806;Вентана-Граф;7;УМК Полякова. Алгебра (7-9) (У);Мерзляк А. Г., Поляков В. М.;Алгебра. Углубленный уровень. 7 класс;75,00;0,18
1.2.3.2.8.2;VEN000000000428807;Вентана-Граф;8;УМК Полякова. Алгебра (7-9) (У);Мерзляк А. Г., Поляков В. М.;Алгебра. Углубленное изучение. 8 класс;75,00;0,18
1.2.3.2.8.3;VEN000000000428808;Вентана-Граф;9;УМК Полякова. Алгебра (7-9) (У);Мерзляк А. Г., Поляков В. М.;Алгебра. Углубленное изучение. 9 класс;75,00;0,18
1.2.3.3.5.1;VEN000000000428776;Вентана-Граф;7;УМК Мерзляка. Геометрия (7-9);Мерзляк А. Г., Полонский В. Б., Якир М. С.;Геометрия. 7 класс;75,00;0,18
1.2.3.3.5.2;VEN000000000428777;Вентана-Граф;8;УМК Мерзляка. Геометрия (7-9);Мерзляк А. Г., Полонский В. Б., Якир М. С.;Геометрия. 8 класс;75,00;0,18
1.2.3.3.5.3;VEN000000000428692;Вентана-Граф;9;УМК Мерзляка. Геометрия (7-9);Мерзляк А. Г., Полонский В. Б., Якир М. С.;Геометрия. 9 класс;75,00;0,18
1.2.4.1.3.1;VEN000000000428770;Вентана-Граф;7;;Грачев А. В., Погожев В. А., Селиверстов А. В.;Физика. 7 класс;75,00;0,18
1.2.4.1.3.2;VEN000000000428771;Вентана-Граф;8;;Грачев А. В., Погожев В. А., Вишнякова Е. А.;Физика. 8 класс;75,00;0,18
1.2.4.1.3.3;VEN000000000428772;Вентана-Граф;9;;Грачев А. В., Погожев В. А., Боков П. Ю.;Физика. 9 класс;75,00;0,18
1.2.4.1.8.1;VEN000000000428787;Вентана-Граф;7;УМК Хижняковой. Физика (7-9);Хижнякова Л. С., Синявина А. А.;Физика. 7 класс;75,00;0,18
