IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP227;IP_PROP228;IP_PROP230;IP_PROP229;IP_PROP226;IP_PROP231;IC_GROUP0;IC_GROUP1;IC_GROUP2
232735;232734;232735;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232737;232736;232737;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232739;232738;232739;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232741;232740;232741;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232743;232742;232743;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232745;232744;232745;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232747;232746;232747;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232749;232748;232749;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232751;232750;232751;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232753;232752;232753;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232755;232754;232755;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232757;232756;232757;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232759;232758;232759;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232761;232760;232761;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232763;232762;232763;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232765;232764;232765;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232767;232766;232767;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232769;232768;232769;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232771;232770;232771;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232773;232772;232773;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232775;232774;232775;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232777;232776;232777;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232779;232778;232779;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232781;232780;232781;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232783;232782;232783;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232785;232784;232785;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232787;232786;232787;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232789;232788;232789;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232791;232790;232791;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232793;232792;232793;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232795;232794;232795;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232797;232796;232797;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232799;232798;232799;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232801;232800;232801;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232803;232802;232803;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232805;232804;232805;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232807;232806;232807;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232809;232808;232809;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232811;232810;232811;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232813;232812;232813;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232815;232814;232815;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232817;232816;232817;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232819;232818;232819;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232821;232820;232821;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232823;232822;232823;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232825;232824;232825;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232827;232826;232827;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232829;232828;232829;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232831;232830;232831;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232833;232832;232833;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232835;232834;232835;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232837;232836;232837;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232839;232838;232839;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
