Id;Nameauthor;fp_code;fp_code1;name;author;class;nds;Price
rus_efu_103;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 8кл. 2ч.;1.2.1.1.3.4;1.2.1.1.3.4;Русский язык 8кл. 2ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;8;0,18;105
rus_efu_104;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 9кл. 1ч.;1.2.1.1.3.5;1.2.1.1.3.5;Русский язык 9кл. 1ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;9;0,18;105
rus_efu_105;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 9кл. 2ч.;1.2.1.1.3.5;1.2.1.1.3.5;Русский язык 9кл. 2ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;9;0,18;105
rus_efu_106;Зинин С.А., Сахаров В.И. Литература 10кл.1ч.;1.3.1.1.3.2;1.3.1.1.3.2;Литература 10кл.1ч.;Зинин С.А., Сахаров В.И.;10;0,18;105
rus_efu_107;Зинин С.А., Сахаров В.И. Литература 10кл.2ч.;1.3.1.1.3.2;1.3.1.1.3.2;Литература 10кл.2ч.;Зинин С.А., Сахаров В.И.;10;0,18;105
rus_efu_108;Зинин С.А.,Чалмаев В.А. Литература 11кл. 1ч.;1.3.1.1.3.3;1.3.1.1.3.3;Литература 11кл. 1ч.;Зинин С.А.,Чалмаев В.А.;11;0,18;105
rus_efu_109;Зинин С.А.,Чалмаев В.А. Литература 11кл. 2ч.;1.3.1.1.3.3;1.3.1.1.3.3;Литература 11кл. 2ч.;Зинин С.А.,Чалмаев В.А.;11;0,18;105
rus_efu_110;Гольцова Н.Г., Шамшин И.В., Мищерина М.А. Русский язык 10-11 кл.Базовый уровень.В 2-х чч.1часть;1.3.1.1.3.1;1.3.1.1.3.1;Русский язык 10-11 кл.Базовый уровень.В 2-х чч.1часть;Гольцова Н.Г., Шамшин И.В., Мищерина М.А.;10-11 кл;0,18;105
rus_efu_111;Гольцова Н.Г., Шамшин И.В., Мищерина М.А. Русский язык 10-11 кл.Базовый уровень.В 2-х чч.2часть;1.3.1.1.3.1;1.3.1.1.3.1;Русский язык 10-11 кл.Базовый уровень.В 2-х чч.2часть;Гольцова Н.Г., Шамшин И.В., Мищерина М.А.;10-11 кл;0,18;105
rus_efu_112;Огерчук Л.Ю. Технология 1кл.;1.1.6.1.7.1;1.1.6.1.7.1;Технология 1кл.;Огерчук Л.Ю.;1;0,18;105
