11-0912-01_l5;Баранов М. Т., Ладыженская Т. А., Тростенцова Л. А. и др. / Под науч.рук. Шанского Н. М.;Русский язык. 6 класс. В 2-х ч. Ч. 1. Электронная форма учебника. (Лицензия 5 лет);6;Ладыженская Т.А. (5-9);;99.99.99.99.99.99;181
11-0913-01_l5;Баранов М. Т., Ладыженская Т. А., Тростенцова Л. А. и др.;Русский язык. 7 класс. Электронная форма учебника. (Лицензия 5 лет);7;Ладыженская Т.А. (5-9);;99.99.99.99.99.99;181
11-0914-01_l5;Тростенцова Л.А.,Ладыженская Т.А.,Дейкина А.Д. и др.;Русский язык. 8 класс. Электронная форма учебника. (Лицензия 5 лет);8;Ладыженская Т.А. (5-9);;99.99.99.99.99.99;181
11-0915-01_l5;Тростенцова Л.А.,Ладыженская Т.А.,Дейкина А.Д. и др.;Русский язык. 9 класс. Электронная форма учебника. (Лицензия 5 лет);9;Ладыженская Т.А. (5-9);;99.99.99.99.99.99;181
11-0917-01_l5;Рыбченкова Л.М.,Александрова Л.М.Глазков А.В. и др.;Русский язык. 5 класс. В 2-х ч. Ч. 1. Электронная форма учебника. (Лицензия 5 лет);5;Рыбченкова Л.М. (5-9);;99.99.99.99.99.99;181
11-0918-01_l5;Рыбченкова Л.М.,Александрова О.М.,Глазков А.В. и др.;Русский язык. 5 класс. В 2-х ч. Ч. 2. Электронная форма учебника. (Лицензия 5 лет);5;Рыбченкова Л.М. (5-9);;99.99.99.99.99.99;181
11-0919-01_l5;Рыбченкова Л.М.,Александрова О.М.,Загоровская О.В. и др.;Русский язык. 6 класс. В 2-х ч. Ч. 1. Электронная форма учебника. (Лицензия 5 лет);6;Рыбченкова Л.М. (5-9);;99.99.99.99.99.99;181
11-0920-01_l5;Рыбченкова Л.М.,Александрова О.М.,Загоровская О.В. и др.;Русский язык. 6 класс. В 2-х ч. Ч. 2. Электронная форма учебника. (Лицензия 5 лет);6;Рыбченкова Л.М. (5-9);;99.99.99.99.99.99;181
11-0921-01_l5;Рыбченкова Л. М., Александрова О. М., Загоровская О. В. и др.;Русский язык. 7 класс. Электронная форма учебника. (Лицензия 5 лет);7;Рыбченкова Л.М. (5-9);;99.99.99.99.99.99;181
11-0922-01_l5;Рыбченкова Л. М., Александрова О. М., Загоровская О. В. и др.;Русский язык. 8 класс. Электронная форма учебника. (Лицензия 5 лет);8;Рыбченкова Л.М. (5-9);;99.99.99.99.99.99;181
11-0923-01_l5;Рыбченкова Л. М., Александрова О. М., Загоровская О. В. и др.;Русский язык. 9 класс. Электронная форма учебника. (Лицензия 5 лет);9;Рыбченкова Л.М. (5-9);;99.99.99.99.99.99;181
11-0924-01_l5;Власенков А. И., Рыбченкова Л. М.;Русский язык и литература. Русский язык. 10 -11классы. Базовый уровень. Электронная форма учебника. (Лицензия 5 лет); 10 - 11;Власенков А.И. (10-11) (Базовый);;99.99.99.99.99.99;181
